feature_ref,project_name,category,sub_category,feature_name,description,type,poc,artifact_detail,used_year,feature_extended,alternate_poc
SMS-Integration-Attentive,,SMS,Integration,Attentive,,Custom Integration,,,,f,
Taxation-CustomFeature-Tax breakup,,Taxation,CustomFeature,Tax breakup,,Custom Integration,,,,f,
Taxation-Integration-Sabrix,,Taxation,Integration,Sabrix,Indirect taxation,Custom Integration,,,,f,
Payment-Integration-Spreedly,,Payment,Integration,Spreedly,unified payment gateway,Custom Integration,,,,f,
Payment-Integration-Apple Pay,,Payment,Integration,Apple Pay,,Link Partner,,,,f,
Fraud Check-Integration-Riskified,,Fraud Check,Integration,Riskified,,Custom Integration,,,,f,
Payment-Integration-GSI,,Payment,Integration,GSI,Express Checkout,Custom Integration,,,,f,
NFR-Tracking-Order Guard,,NFR,Tracking,Order Guard,Track order placed in last X time,Custom Integration,,,,f,
Email Marketing-Integration-Exact Target,,Email Marketing,Integration,Exact Target,Email subscription,Custom Integration,,,,f,
OMS-Integration-Sterling,,OMS,Integration,Sterling,,Custom Integration,,,,f,
Analytics-Integration-GTM,,Analytics,Integration,GTM,,Custom Integration,,,,f,
Wishlist-CustomFeature-Save For Later On Cart,,Wishlist,CustomFeature,Save For Later On Cart,,Custom Integration,,,,f,
Address Validation-Integration-Ship Engine,,Address Validation,Integration,Ship Engine,,Custom Integration,,,,f,
Taxation-Integration-Avalara,,Taxation,Integration,Avalara,,Custom Integration,,,,f,
Taxation-Integration-Vertex,,Taxation,Integration,Vertex,,Custom Integration,,,,f,
CRM-SF Integration-Salesforce CRM,,CRM,SF Integration,Salesforce CRM,,Custom Integration,,,,f,
Payment-Integration-Cybersource,,Payment,Integration,Cybersource,,Custom Integration,,,,f,
OMS-SF Integration-Salesforce OMS,,OMS,SF Integration,Salesforce OMS,,Custom Integration,,,,f,
Customer Service-SF Integration-Salesforce Service Cloud,,Customer Service,SF Integration,Salesforce Service Cloud,,Custom Integration,,,,f,
Email Marketing-SF Integration-Salesforce Maketing Cloud,,Email Marketing,SF Integration,Salesforce Maketing Cloud,,Custom Integration,,,,f,
Email Marketing-Integration-Braze,,Email Marketing,Integration,Braze,,Custom Integration,,,,f,
Rating & Reviews-Integration-Bazaarvoice,,Rating & Reviews,Integration,Bazaarvoice,,Custom Integration,,,,f,
Captcha-Integration-Recaptcha,,Captcha,Integration,Recaptcha,,Custom Integration,,,,f,
Payment-Integration-Worldpay,,Payment,Integration,Worldpay,,Custom Integration,,,,f,
CMS-Integration-Amplience,,CMS,Integration,Amplience,,Custom Integration,,,,f,
Payment-Integration-Alipay,,Payment,Integration,Alipay,,Custom Integration,,,,f,
Payment-Integration-Usafe,,Payment,Integration,Usafe,,Custom Integration,,,,f,
Payment-Integration-Wechat,,Payment,Integration,Wechat,,Custom Integration,,,,f,
Tanslation-Integration-globallink,,Tanslation,Integration,globallink,,Custom Integration,,,,f,
Quotes-Integration-TGCommerce,,Quotes,Integration,TGCommerce,,Custom Integration,,,,f,
Payment-Integration-Amazonpay,,Payment,Integration,Amazonpay,,Custom Integration,,,,f,
Payment-Integration-LGPlus Bank transfer,,Payment,Integration,LGPlus Bank transfer,,Custom Integration,,,,f,
NFR-Performance-GTMetrix,,NFR,Performance,GTMetrix,,Custom Integration,,,,f,
NFR-Performance-Lighthouse,,NFR,Performance,Lighthouse,,Custom Integration,,,,f,
NFR-Performance-Quantum Matrix,,NFR,Performance,Quantum Matrix,,Custom Integration,,,,f,
NFR-Performance-Blue triangle,,NFR,Performance,Blue triangle,,Custom Integration,,,,f,
